,country,Latitude,Longitude,count_of_articles_nyt,count_of_articles_zeit,ids_of_articles_nyt,ids_of_articles_zeit
0,Adriatic Sea,43.7021514,14.6679465,1.0,0.0,['nyt://article/6c5919fe-452a-532d-8234-f698a33bc15c'],[]
1,Aegean Sea,38.06222755,25.720588707973135,2.0,0.0,"['nyt://article/a0eec7f0-3d63-5711-9700-9bce1b389aa9', 'nyt://interactive/6addaf57-b7fa-5d0f-af24-ec0c3e131acd']",[]
2,Afghanistan,33.7680065,66.2385139,89.0,168.0,"['nyt://article/afe74c10-e930-55fc-9186-2163146355b1', 'nyt://article/b35fed90-4f6c-5090-a650-c9b3416cfdb6', 'nyt://article/1f63edd0-84c8-5a7c-abf9-85d53a74592d', 'nyt://article/17ea0afa-d3ea-55a2-85a8-8799db99297f', 'nyt://article/78d591a3-fb7a-5b66-9a94-77e03dacb73d', 'nyt://article/22c77345-c8fc-54b8-8044-881e946adaf0', 'nyt://article/d14635d5-9d12-58c0-91a5-36a9eddb8fad', 'nyt://article/d3fd6ae0-dee3-53bc-89cf-20ec83c40234', 'nyt://article/05f83232-eb7e-5e3e-a764-54fe54003048', 'nyt://article/743db14f-34bc-5234-8e83-636c558578cc', 'nyt://article/d0c139cf-6af8-54b2-896b-afebb7e42e31', 'nyt://article/68d4167f-e5e5-5cb2-aaad-08de77f1e02a', 'nyt://article/3ba1a707-be08-5a83-8d18-5d5341bf3b7a', 'nyt://article/7f712518-1080-590c-818e-3f183d5ab9e2', 'nyt://article/027c7bf8-68aa-515e-95a6-f5eea8048f65', 'nyt://article/0854fc1c-6794-5407-a410-c4e54329fd73', 'nyt://interactive/fda805b2-2b2a-51c0-b44b-0a6a357a30a4', 'nyt://article/296fab0b-6def-55d1-931b-e61f385d40bc', 'nyt://article/aef01dcc-7440-5174-8f8b-dd5b813e2d43', 'nyt://article/85b88725-7f8f-5058-98da-25161dabd136', 'nyt://article/c96f4245-1467-5b45-b131-fa10275af954', 'nyt://article/bf24d7e3-26df-577e-8327-5ad156769f42', 'nyt://article/fa3698f7-b0e6-55dc-8503-bbcc04e488c1', 'nyt://article/c47b9632-5b0a-510d-8386-74c70370438b', 'nyt://article/fa4f938c-3999-5899-9b9a-87dade1e9109', 'nyt://article/c626e64c-ed66-5d21-ac87-486bc0da2be8', 'nyt://article/32b2f331-8909-5df2-b55c-c0b2e563860d', 'nyt://article/1eddbd46-8c2d-5754-8440-bb35e43e39d0', 'nyt://article/c5a3a331-6d04-585c-b237-505d9fb9f508', 'nyt://article/fbfdc8b5-31b3-5dd8-a1ae-fe3f871b745f', 'nyt://article/518634fb-02c7-5186-94e2-c9a6b42e410f', 'nyt://article/d628ac24-8c04-5861-afff-3f2bb873742b', 'nyt://article/a0c9f4df-26d4-57b3-917f-4b7c7febe0f5', 'nyt://article/f9386ae2-3ae0-5baf-8064-919dfdbc9e8c', 'nyt://article/f36ce919-1ecd-5f6d-8748-40037f0c6a8f', 'nyt://article/46cb81ae-222b-5033-b03f-cb208d91cb72', 'nyt://article/4ba0b180-46bd-5519-b2f2-d2c0f20f756b', 'nyt://article/f115bed1-d4ec-51a9-86c5-4d32f76e9350', 'nyt://article/1ea25afb-f7f5-5873-8da1-5fbdba9ca782', 'nyt://article/9f42643f-3a1e-58b0-8b05-471e25cc5fea', 'nyt://article/508aec2b-c1c4-573b-b295-91f4d8364552', 'nyt://article/32d37cf0-7c12-5d3b-ae4a-f031d0ca961a', 'nyt://article/f0883555-c784-56cd-8272-ba1113b1920c', 'nyt://article/224d3b62-d489-5a2f-91c0-6a46346661ee', 'nyt://article/5fe584a4-4686-5efa-8baf-67778ace59e7', 'nyt://article/18ed351f-33f4-5712-aea6-1b69cf8b71ca', 'nyt://article/77d3ba07-71fd-55e9-8260-077d40e7e7b0', 'nyt://article/19f90532-f2bd-5a00-9df4-72159380cc93', 'nyt://article/8481a933-d337-5c0e-8855-731556cffe07', 'nyt://article/6ec05f2b-a2b3-5190-b9e4-3bed75594a0f', 'nyt://article/5838cab0-6078-5c8d-8c25-78f9b152d105', 'nyt://article/620575aa-9d01-5858-abff-b88aa5a78c27', 'nyt://article/c534fef0-8bda-59a7-b7fe-14ee196e4e71', 'nyt://article/0bbcc209-db15-5ed7-afa0-c8de30a1b0d8', 'nyt://article/78b8c3a3-7029-557d-a8a0-1e2567a4e993', 'nyt://article/c9a7aa82-bfba-57ce-8345-2fe996c2f588', 'nyt://article/f03fae5a-e626-5e9d-b0e2-4b339c9b0bed', 'nyt://article/b1179855-fe4a-503b-9086-32a9d44ba791', 'nyt://article/eb2e5966-5909-5229-aeb5-e1c1adf0ce4c', 'nyt://article/e5652440-552d-5b51-abd0-643d43eac6c8', 'nyt://article/7d382142-6b6f-551d-8484-6e35963ad993', 'nyt://article/44a10f67-d02c-56d0-9f9e-7da36dbd93ba', 'nyt://article/786b0740-8ed5-5bea-a353-056203015bf2', 'nyt://article/692aefda-1ac4-5507-9b37-9aeaf74f9bcc', 'nyt://article/e618787b-82dd-5aad-995f-2d34b7bac54f', 'nyt://article/f44d83b1-2253-5fc9-b71e-b66295c7cc8e', 'nyt://article/c93658c8-63ea-562e-896b-a5a3fd1b9ffd', 'nyt://article/b76ea1ba-2191-5f8d-8758-f125e627cda8', 'nyt://article/fd15543c-174a-5c4d-9628-522e0e9a6768', 'nyt://article/f341cceb-41b8-5e13-b4c3-7affb67add4a', 'nyt://video/29e82c59-3302-5369-903b-4a3cb55720ce', 'nyt://article/6f7e716e-6df6-598f-a673-d389d1642f8c', 'nyt://article/f6178677-9c32-5afa-b988-01d15ea68899', 'nyt://article/76935c0c-a9ed-5495-aa1e-938494ed1a7a', 'nyt://article/67761cbe-2ec6-5e32-b6f6-6e6a5a4eabee', 'nyt://article/4487764e-f7d2-5a32-aa38-fbd96d8e4dd6', 'nyt://article/6228d681-5c79-53b9-b6f5-e585b587346b', 'nyt://article/c2eb44e1-4e49-5cb3-ba8c-1953156a9752', 'nyt://article/2f67e84d-d1c4-5419-b780-b0108851a334', 'nyt://article/818a8358-54bf-59af-b02b-ab789f7753b5', 'nyt://article/6d8cd85e-52d7-5ea6-975d-431a232b0dd3', 'nyt://article/f7b22ddb-7134-5785-8c9f-92462d75dd58', 'nyt://article/f3ffe4d3-01d7-5464-a725-6f402e4384a8', 'nyt://article/c7e16118-94fc-55a9-90f6-91271aa69c8e', 'nyt://article/0537b6b9-571a-539b-af8c-fc72f2873096', 'nyt://article/40316d75-4573-5cb4-97b5-d6c4968d4fce', 'nyt://article/7b8fbf6e-0c80-52bd-977b-e38aa98ca567', 'nyt://article/7d2a7a01-0235-5e55-9393-79ed5a8837a3', 'nyt://article/c20000bf-0d4e-5023-9e9f-8e65e3d98cef']","['8097776014', '8313407266', '8055988629', '8349684238', '8186226247', '8293953653', '8174423944', '8163733860', '8431459289', '7917064049', '8277631139', '8231440062', '8162651098', '8043613454', '8016437106', '8433653719', '8298581376', '8318448566', '8297254060', '8164165578', '7919288839', '7986108244', '8081861867', '8432919614', '8399169027', '8404072150', '8296509473', '8300484288', '8298794038', '8442923943', '8457005988', '8293688623', '7935831789', '8133903831', '8117904339', '8176130532', '8234728623', '8072821993', '8299051332', '8455606833', '2024-08-467357317', '8292589355', '8265360654', '8276181518', '8299185435', '8161233209', '8037483645', '8361318537', '8196693941', '8275731023', '2024-09-478123706', '7979713876', '8176125898', '8298852890', '8299069620', '8444269862', '2024-09-473899727', '8471093226', '8099047804', '8412654936', '8299256646', '8121419602', '8310599013', '8318779643', '8180396507', '8295863500', '8283878066', '8294338236', '8185525210', '8122315789', '8168514078', '8243307848', '8247062835', '2024-11-535659915', '8184489802', '8166722711', '8294861501', '8292508921', '8275053323', '7972700474', '8335933152', '8095277774', '8135363884', '8174239720', '8387649451', '8208530882', '8275538340', '8046019803', '7953794620', '8351394851', '8299212539', '8298803697', '8210594843', '8209981250', '8164347495', '8298852892', '8292417248', '7994851079', '8420781936', '8259625760', '8166283208', '2024-08-452974696', '8301095711', '7959184276', '8299130407', '8165680687', '8364751866', '8199557279', '8427677856', '8286938242', '8212057597', '8180459372', '8161269188', '7961400067', '8128549924', '8296853152', '8432490067', '8123466285', '8120734902', '8360351797', '7961220788', '8317842539', '7986147588', '8164945995', '7923271163', '8377983069', '8081278930', '7989415005', '8288233756', '8417130934', '8428897934', '8253584021', '8300641537', '8160209083', '2024-12-567099616', '8148907505', '8299714359', '8185065565', '8254033875', '8028221984', '8150114982', '8298959921', '8292934206', '8209030346', '8444733358', '8274572681', '8384891254', '8375634938', '8133803533', '8113928360', '2024-09-478036591', '8282587194', '8283658236', '8299347963', '8268111549', '8299419200', '8462578158', '8160248394', '8291484227', '8478156165', '8163642147', '7981009609', '7916145827', '8180096441', '8313553692', '8472648132', '8286834070', '8336619812']"
3,Africa,11.5024338,17.7578122,199.0,0.0,"['nyt://article/c2ae5cf2-31fc-5962-98b0-53d4cd17d520', 'nyt://article/047e6843-2d41-5ac8-beba-3d6043aabe0d', 'nyt://article/f53c045c-2311-55c4-9658-01bb0ae3311e', 'nyt://interactive/60f082b7-0030-571e-a0a8-9cb88f5ba109', 'nyt://article/56d1f933-062c-54c1-9f34-017323358de6', 'nyt://article/bd0dd243-f788-55e5-a3f3-2b77b4708d68', 'nyt://article/61d3e7cc-f050-53e0-b15d-a323d82f05fe', 'nyt://article/6fadd6f6-536f-538b-8c4e-08f001b3a2ce', 'nyt://article/3d011bc2-3b5e-5ead-a2a5-58cc33e701ad', 'nyt://article/42a46de1-94a2-586b-92d6-08326bd66f87', 'nyt://article/469a02da-7113-5a0e-a18f-d2f522a4c2af', 'nyt://article/0fde90a2-3555-509f-9f1f-26892977d8ac', 'nyt://article/e00ebadf-3c04-5e16-9dc4-36303c378e41', 'nyt://article/c86bcf7b-7170-56f9-8404-65c13a813a79', 'nyt://article/a21ec7b3-a1e6-5aae-9498-dcf0f6736877', 'nyt://article/09ee7f81-a9b9-5fe4-a78b-da4d4e7b495d', 'nyt://article/278615cf-39bc-5967-965d-9db5c5ea3315', 'nyt://article/68ed5ab0-0f9d-55a4-a800-71b89bbcb28f', 'nyt://article/e88d421a-f191-582a-83d1-7cf8493b6987', 'nyt://article/1daf3f01-1282-5ee1-b15f-33d4d2ed1c6a', 'nyt://article/e4d46fbb-0e78-5c0f-8bbe-9caa617950e5', 'nyt://article/b472a426-1803-590b-ab5d-a81aea32a425', 'nyt://article/cd56dd44-42f6-5c0f-9d2d-6ae931e2d97f', 'nyt://article/1718e52c-6ac5-5b5b-91e9-9e7d26b2de6c', 'nyt://article/780455ce-e608-55c8-a6ec-ab70ae063ffa', 'nyt://article/63d78256-7141-57e3-a68b-d505a4f59337', 'nyt://article/7564d810-e528-5cd2-b6c9-39811c950316', 'nyt://article/2902de89-7c5b-55ba-83fd-b7bc854f632d', 'nyt://article/52534b46-8ecc-5522-8a19-2c3dee24ec73', 'nyt://article/a9962952-192e-5563-9f98-23b0762e03c4', 'nyt://article/741341eb-23bf-5c3a-8fe9-d081f93d4b49', 'nyt://article/02f25d77-89a1-5425-b9e1-4327fa80ce37', 'nyt://article/eb3c83f5-72af-5bb5-89d5-e228241da67b', 'nyt://article/a574a94c-5c5c-5358-9a91-cd7d6eca9dbe', 'nyt://article/bd55f4ba-65f2-543d-9b82-cdd90befdbbd', 'nyt://article/baf2cdba-f056-5544-91a2-ef5dc37bad1d', 'nyt://article/92330159-766f-5471-a44e-5183bf9c0b20', 'nyt://article/b82f9259-712b-5f24-ad19-c7c4641782b8', 'nyt://article/8e9c68f9-7b15-536d-a7c7-9b34671ab74b', 'nyt://article/c5ff5497-b897-51d8-ac73-b2801f7f720e', 'nyt://article/115ae2a3-1305-5cf4-bacf-a292dd0026fb', 'nyt://article/12bb04ae-3579-5e7f-9990-4a2be9ec311b', 'nyt://article/8d866937-2318-51bf-869a-456be1f2a7b2', 'nyt://article/cae1375e-ed0c-5637-8ea3-dbbd109743e6', 'nyt://article/f52501cd-277a-5275-865e-0a59491c2f06', 'nyt://article/70884c44-d53c-546f-9127-a06965a947f1', 'nyt://article/99085047-2746-5ccf-b239-fd601fb6ac0c', 'nyt://article/2028ab73-b945-5eaa-85ae-58945f6df85f', 'nyt://article/6aefe6c3-ed07-5f7f-bd9e-b019f33fe902', 'nyt://article/95dc143b-84d6-5407-af03-84d244885af5', 'nyt://article/6e1fb917-1bf0-5d91-accd-97d7cca64cc2', 'nyt://article/e0c56701-55d1-56f4-a1aa-ef9972d01ccc', 'nyt://article/e4c8f782-713d-524d-839c-27ac65c932c9', 'nyt://article/37b141f4-57e3-5d4a-bf4c-56347d70a5ad', 'nyt://article/f2d8fdc5-e573-553b-90d7-89dac4afd5ee', 'nyt://article/897a0e53-6076-5a98-bb28-4d7d3df155a4', 'nyt://article/16464684-4c6b-5a60-9440-dac0874f2285', 'nyt://article/1af67bb5-b8a4-5149-9e04-1f7ae4d2ffe6', 'nyt://article/c60b81b2-f8c1-55c8-a87c-e8b51264fb10', 'nyt://article/7c222beb-de75-5309-a5d1-e06d0a1d4693', 'nyt://article/67c33467-d217-58ea-957f-08a6fac7a4a8', 'nyt://article/f99ea5a2-b950-53f2-99f7-5ee1473fed0f', 'nyt://article/1a458b6c-557d-5d53-be61-14baa3c0e148', 'nyt://article/3541e1b8-3fd1-59a3-ac81-b7bb4300efe8', 'nyt://article/2cead087-fe59-5f15-98cc-49949e08256d', 'nyt://article/9550ed3b-d19a-5dfb-81b8-fa5b6be9c404', 'nyt://article/d01dffe3-9c74-551b-bbbf-eac1e1c17319', 'nyt://article/6f98bca6-f886-5b1e-bc0e-60f149f992cf', 'nyt://article/2277a789-ee94-54d6-b682-171604883d76', 'nyt://article/a7da46b8-0edc-5f32-be69-cb07fd5bbf4c', 'nyt://article/af799cee-5530-508a-9151-4ea8953969ad', 'nyt://article/aba101ee-b370-5aa5-bc83-d9e347daa2de', 'nyt://article/d2bd66b9-b44d-5d97-98c7-b558637439ad', 'nyt://article/29bd529f-432a-5717-ad45-fe2ff4789bfe', 'nyt://article/ebd9cd3a-f412-5583-a3d5-7c4058d8f7b7', 'nyt://video/65648182-015d-5cb4-91d6-7c9b9de8ac19', 'nyt://article/2be5703b-af16-5aff-83f5-bea3e04e187b', 'nyt://article/f8353b01-d88f-5013-9b1b-1ced66fc5f42', 'nyt://article/261dc75b-e9ba-583b-89ab-2976430167a7', 'nyt://article/22ae90a5-47fd-571d-8389-0df2021b253f', 'nyt://article/761bb072-168b-5772-b035-29445430eafb', 'nyt://article/349ee346-09b0-5114-938b-6c471d0a9aa1', 'nyt://article/21c8f051-1de8-59cf-9c04-b3a1ac116289', 'nyt://article/7b8d5bef-f808-53f3-bd94-d305faae069f', 'nyt://article/c9795436-ab8b-527f-ab17-6181c26b44cf', 'nyt://article/09ffb689-5efd-5c3a-b678-7c37180810c0', 'nyt://article/a7aeec8f-6abb-595d-bceb-08e77159f3c0', 'nyt://article/581452e5-8317-5dfd-b49d-328fabea1e95', 'nyt://article/4b02bd92-7924-5305-89a2-7ba769c9768f', 'nyt://article/d41f915b-24b5-50ab-8516-e339cc8cc3ed', 'nyt://article/bb0312c2-aa59-50e1-ad3b-86d924cdc54e', 'nyt://article/2450e037-f76d-51dc-8e60-9977062a7e0d', 'nyt://article/d2c6f481-0408-57f2-a871-e32dcc120554', 'nyt://article/db8b488a-2f94-5303-8491-9f263f4a14fa', 'nyt://article/b8004aeb-98a5-5078-9924-844a259dd9e8', 'nyt://article/e7fe4a3e-ef01-5c90-b572-7c22a4e7784a', 'nyt://article/ee54cef2-ec4d-54e2-a413-0a534473d33f', 'nyt://article/74d484af-79a5-5b2c-8f07-5b8f014a4bf2', 'nyt://article/4ff0123d-daed-5869-94a7-48c73ddf6491', 'nyt://article/53118789-4397-5531-89b9-9058ba300f0c', 'nyt://article/23b21af2-b2fa-5763-8f73-eba2f4d72e55', 'nyt://article/1e6e59ac-8865-5109-931d-6c231cdeef2d', 'nyt://article/79916a15-0c96-5eb3-88e5-9c174d2bb4a3', 'nyt://article/de5d2cfa-6811-510c-aded-0a3c48c11659', 'nyt://article/0f246c7f-0651-584f-8f4e-7c4d7a26675e', 'nyt://article/b1d10a0b-0958-5a2d-932a-575ab2449d7a', 'nyt://article/4632f1ee-5849-5296-baf0-6d59c6082827', 'nyt://article/3bfab5b4-7b6b-5991-84ee-bfff92f65861', 'nyt://article/0bfc1f4d-f3b6-58b6-b8fd-392a0beb93cf', 'nyt://article/dba9aa49-b2da-56de-84b9-c5e884dcfdb2', 'nyt://article/6af3ed7b-6a79-55ac-bd4c-0cb3b0c33c40', 'nyt://article/a3fd08c1-e5b5-5902-8aef-7c9b324858ec', 'nyt://article/86adb88f-b177-55d5-b0bf-6f9391303ea7', 'nyt://interactive/ae33a77a-7002-542b-af09-9fb0ece51b01', 'nyt://article/1833a84a-13c9-5d3e-ac8d-e7d75a7c0288', 'nyt://article/d12e3ef2-0583-585c-88a6-e57e084f643f', 'nyt://article/03b24e44-d933-5256-ace6-7bedcf5f8c28', 'nyt://article/4cef5b08-76f9-5e21-97b5-f827281cf318', 'nyt://article/3d0a2434-05b7-5d96-a800-e28b6bc6b071', 'nyt://article/9153fa00-7519-5e57-bc09-1147b87c073a', 'nyt://article/aecbcefc-2e93-54a4-8b76-dd6122d4345f', 'nyt://article/1dfe1dd1-4683-5496-b7d8-ac104d563057', 'nyt://article/f6923802-fb06-5bf1-8ead-a4e239606616', 'nyt://article/03a99a6e-03a0-5090-9b15-24da536dba2a', 'nyt://article/6115348c-8c09-5693-9c59-f38ec9b2ac35', 'nyt://article/7c00adaf-e22c-58c2-b366-ba96cf84ce87', 'nyt://article/b31bf7b8-fd6a-5c88-b518-a92505671024', 'nyt://article/5df94182-64b8-5f64-9cec-1bc3edc769c0', 'nyt://article/7da9840c-fd51-5ca4-992c-2aaaa5d16b3e', 'nyt://article/30ac1edb-2b1f-5a38-a14f-39273ba9cb81', 'nyt://article/bf77cc3c-2d4c-54d9-8ae9-e8dfce0fb9f9', 'nyt://video/de9700e0-96c6-55de-8b39-64a5831607cf', 'nyt://article/34e514ce-6ebc-58f1-bf4b-d750eadc447e', 'nyt://article/83613aa0-1347-515b-afdc-1e458d87b7c1', 'nyt://article/a1e579fc-27a3-546d-b5cd-47ca1b5e9483', 'nyt://article/12745a73-8eee-537a-b1c2-d7c566ad0d44', 'nyt://article/1a870742-7dc9-5dff-be4d-eb18e5fe5256', 'nyt://article/db9bd694-eeef-5b7c-90d2-339096f5e59d', 'nyt://article/36e8adce-7862-5060-a20d-0bde50e726e5', 'nyt://article/1eb31c50-94d2-587d-b384-984b391b3735', 'nyt://article/60598b3b-946a-5b6d-b1b3-6aeab4162e18', 'nyt://article/8212b465-b268-54a3-8280-7d1d8d2071f7', 'nyt://article/887c59f5-0b74-52a8-9883-c449ff88fe64', 'nyt://article/1d72cbca-622b-5cd7-8153-d8e27af1c606', 'nyt://article/0318503d-be6a-5840-896b-c4fe42835c5a', 'nyt://article/08943ce5-2595-55a9-9fbc-f621a23621f2', 'nyt://article/96a554d7-a595-551a-a136-e693588841a0', 'nyt://article/c7b2361f-9a49-55cf-9549-031b1ac2722b', 'nyt://article/319ca53c-7212-54d1-8c16-e1bef283a28a', 'nyt://article/3730b3b0-c048-55cb-812c-11e45922ec8f', 'nyt://article/238e3548-c965-53ec-b927-435801b96289', 'nyt://article/da198874-4d46-5562-9764-177b80cd0b7b', 'nyt://article/f814e44d-c0ea-5658-b338-9952f1f123a1', 'nyt://article/631951aa-c4f8-5e68-bacb-4c46250dc329', 'nyt://article/8efa8276-dbb0-55a7-a656-c56a4e4d328d', 'nyt://article/b76ea1ba-2191-5f8d-8758-f125e627cda8', 'nyt://article/acd20332-7d58-52b0-af07-1e411c87bd05', 'nyt://article/a1c6563a-fb87-592b-bbf0-fe2ebc9e88b1', 'nyt://article/559d67aa-d4d3-5fe5-8b6d-31a2d87cb016', 'nyt://article/d187d86e-a1f5-52ae-ac10-a27d8ad0dcb0', 'nyt://article/f42b7506-616d-545f-b15c-6fa62717700c', 'nyt://article/95dff9e4-43b7-5011-92b4-a66c8aff11f3', 'nyt://article/22edf542-d819-5470-874b-7bd9e3ebff83', 'nyt://video/bc445114-120a-5b39-aa31-8b201851882a', 'nyt://article/255c6277-c3eb-5432-a2db-ae1e035a7180', 'nyt://article/00280f0b-a8cd-54cf-9d70-adcf0209c281', 'nyt://article/287d15e9-b5bd-5eb3-9d19-a4369c8f705b', 'nyt://article/ac5369ab-9399-5d35-8562-20935e7d7e1c', 'nyt://article/b792e806-eb4a-5489-b55e-3d9ed9f2301a', 'nyt://article/244cb9fb-1377-51ff-8221-63c988ea0b66', 'nyt://article/722a8687-4a4a-53d1-8356-d706c5104b93', 'nyt://article/5fa2ec03-ba22-5aef-a8dc-c6c9696687d2', 'nyt://article/9e14102e-6776-51b5-8bcd-807957c63b32', 'nyt://article/9b1d1ec5-5ac4-5f93-8013-335e04ec9de7', 'nyt://article/a01b65da-3778-5be2-9fed-01d6b83456dc', 'nyt://article/f32ede2b-e191-5498-b2a2-ddce162b78e5', 'nyt://article/2b997912-aa85-5027-b47d-75a03dff5e20', 'nyt://article/e31e3a66-279f-5a10-8f7b-5292aaeafc62', 'nyt://article/1b8fe781-3948-59f8-98df-602b7a9b43d8', 'nyt://article/415aea4c-2180-5418-ba50-e6bad35343b2', 'nyt://article/54cf6fad-d579-5d34-ae9b-da8391ac37b0', 'nyt://article/2f41cb12-b6ad-5c03-92a7-33c7b348521c', 'nyt://article/af22806c-5e25-566e-988b-541a5ef200e4', 'nyt://article/6a7701e1-8497-56c5-941a-b60f7bb87839', 'nyt://article/1f6e5718-307d-500c-adff-ec3e3d61bb12', 'nyt://article/69a3d453-aed3-50b2-a7d2-4651a47fafdf', 'nyt://article/605d7f5c-bbec-5059-86a6-7d647a8ce7a5', 'nyt://article/c5fbdca0-e1f8-53a4-a6c7-33fddc6ea359', 'nyt://article/a988d12e-2d3e-5812-8e59-4296e40b202f', 'nyt://article/10d0ab4c-99ab-5790-a1ae-ba8e256bc8d2', 'nyt://article/d4736f76-795c-5ae1-b47d-6498bf208eb1', 'nyt://article/bcf985cd-fd32-5790-a806-14aec17c69b7', 'nyt://article/0f142927-e1b8-5e2a-bdef-16baf1605898', 'nyt://article/e653d41b-9b52-56cb-8ec5-9b32895e1e53', 'nyt://article/780eb804-a9fc-510d-a8cb-d756c7c2e770', 'nyt://article/f0140bc7-842a-55f6-a0b0-2993e7c1dd6f', 'nyt://article/2124da13-72c9-5ec9-a39f-cf25256822d9', 'nyt://article/c272af05-a534-5fed-8c81-b5f193e467a9', 'nyt://article/53f22f58-2801-575f-8668-56a052078ce4']",[]
4,Albania,5.7587654,-73.9151617,20.0,61.0,"['nyt://article/68d601c6-5e2e-5646-8c14-c73d2ef5085c', 'nyt://article/f49db6ce-476b-51b0-99a7-76006cd4a49f', 'nyt://article/5f3da01e-323c-5b51-a9b4-1e366ca4387d', 'nyt://article/92b0cac1-e2be-5a3e-ae7c-551df5ec6b11', 'nyt://article/15f3afe3-9972-586e-aa7c-0175ec333618', 'nyt://article/10fad6f0-3d46-58ea-993f-e72f0a7b493b', 'nyt://article/c81db80b-5820-56a0-b426-1466f04cc2a4', 'nyt://article/17de74c5-18b4-586e-bdb3-82a369a8a50a', 'nyt://interactive/d5d460ca-b437-599b-a886-ec5fc49a6fb0', 'nyt://article/136bb0d6-4b71-5206-9689-0e34310b709c', 'nyt://article/be52e475-dfa4-5634-bdd5-fdf4d2b69be0', 'nyt://article/fd3c8744-b72a-56d0-b29c-ef4f292d731c', 'nyt://article/59eb4293-7d0a-558f-9c26-d85c3fb5741f', 'nyt://article/ad206b8a-4281-589f-91ba-f9849978c204', 'nyt://article/ad09c31e-d0a6-5487-83f3-eb9972ed073c', 'nyt://article/13c9d470-bca8-59f9-925b-072292e2352b', 'nyt://article/44fa3867-f97c-51a3-ab48-0e8d7efdbb1e', 'nyt://article/bcf2baf9-10e4-5340-a5b4-bb14266e6a27', 'nyt://article/2c538877-45d0-5a80-872a-728972f0c999', 'nyt://article/380a2ab1-a034-554f-946a-b25fa746ae03']","['8364439087', '8388050744', '8163190458', '8369704408', '8193819695', '8005315340', '8128033262', '7931853466', '8458717654', '8362307830', '8167569926', '8050469439', '8468377355', '8180058246', '8315286558', '8354010590', '8179723756', '8145324281', '8406497605', '8349624540', '7990982035', '2024-06-401393631', '8328138814', '8410022601', '8364148705', '7989943383', '8371392679', '8434938101', '8384144335', '8367494937', '8411747332', '8225665343', '8433021264', '8193538106', '8182666932', '8367802193', '8196430649', '8163010434', '8002055398', '8090564553', '8248493478', '8365733297', '7947845006', '8186295713', '8425182347', '8363644781', '8374221914', '8185541205', '8169094584', '8180215495', '2024-06-395877363', '7938624092', '2024-02-264760947', '8005868930', '8089335377', '8191624300', '8203909890', '8021601185', '8406583117', '8242964775', '8425222503']"
5,Algeria,28.0000272,2.9999825,12.0,20.0,"['nyt://article/5abcdb10-f0ea-54bc-90e1-78d0a2b33ecf', 'nyt://article/7d1db0bd-0a23-5438-b13f-4766a97fb06b', 'nyt://article/fd855963-a0f8-5535-9255-1ca4576d60a6', 'nyt://article/c69238f9-653e-5c4b-ba49-d9b2e3d8b2bd', 'nyt://article/b9c4ebce-a56a-58f3-bdb9-62179c7029b4', 'nyt://article/10d2b94d-28ba-56d0-8d03-525b1906293b', 'nyt://article/ee4e0fa8-7f1e-52e0-823a-a95c4ecc15fe', 'nyt://article/1cd65247-4ab7-5565-bb58-74689c599ac7', 'nyt://article/fed7e561-15dc-5cb7-870e-895125df9acf', 'nyt://article/28152675-18ca-5058-9e7a-0051f44f9b50', 'nyt://article/2f548189-1651-568e-9dd7-e7f9a68731b3', 'nyt://article/8b749158-551b-5a43-8209-e683c4490bae']","['8417130934', '8431399588', '8150923868', '8022460745', '8312364949', '8144845675', '8372977962', '8257833741', '8223378425', '8360932152', '2024-09-478272199', '8395208814', '2024-08-442472570', '8266623319', '8260191710', '8312497327', '8267695180', '8251458400', '7953564604', '8187236825']"
6,Angola,-11.8775768,17.5691241,11.0,8.0,"['nyt://article/b31bf7b8-fd6a-5c88-b518-a92505671024', 'nyt://article/03b24e44-d933-5256-ace6-7bedcf5f8c28', 'nyt://article/74d484af-79a5-5b2c-8f07-5b8f014a4bf2', 'nyt://article/2e185f07-5b16-56ff-995b-212c0018e589', 'nyt://article/d96e87c8-50e5-5a24-b29b-272a018d723b', 'nyt://article/ac5369ab-9399-5d35-8562-20935e7d7e1c', 'nyt://article/37b141f4-57e3-5d4a-bf4c-56347d70a5ad', 'nyt://article/4b02bd92-7924-5305-89a2-7ba769c9768f', 'nyt://article/559d67aa-d4d3-5fe5-8b6d-31a2d87cb016', 'nyt://article/f6923802-fb06-5bf1-8ead-a4e239606616', 'nyt://article/2277a789-ee94-54d6-b682-171604883d76']","['8355577589', '8097005428', '8355299812', '7927847804', '8443900057', '7977591188', '8252156683', '8103094764']"
7,Anguilla,18.1954947,-63.0750234,2.0,1.0,"['nyt://article/001ebcf5-8b57-57d7-afe3-26bb3a2e4f1a', 'nyt://article/f6c99838-b3b5-5508-a14a-357cb7c42d92']",['8067913106']
8,Antarctica,,,0.0,15.0,[],"['8434747526', '7935735187', '7974478524', '8435213781', '8461867724', '8175645308', '8380392922', '8407599807', '7987365749', '8176161098', '8153523389', '8091262969', '8461033440', '8097811126', '8050591641']"
9,Antigua and Barbuda,17.2234721,-61.9554608,1.0,0.0,['nyt://article/3cf30e2e-4bf3-5f1f-af6f-aa9773efe580'],[]
